product_id,category,price,stock,rating,launch_date,discontinued
P001,Electronics,199.99,50,4.5,2020-01-01,False
P002,Clothing,29.99,100,3.8,2021-05-15,False
P003,Home,49.99,30,4.2,2019-11-20,True
P004,Electronics,499.99,15,4.8,2022-03-10,False
P005,Clothing,15.99,200,3.5,2020-08-05,False
P006,Home,89.99,40,4.0,2021-01-25,False
P007,Electronics,129.99,60,4.3,2019-06-30,True
P008,Clothing,39.99,80,4.1,2022-07-12,False
P009,Home,24.99,120,3.9,2020-10-15,False
P010,Electronics,299.99,25,4.6,2021-09-05,False
P011,Clothing,19.99,150,3.6,2019-04-01,True
P012,Home,59.99,50,4.4,2022-02-20,False
P013,Electronics,149.99,45,4.2,2020-12-10,False
P014,Clothing,34.99,90,4.0,2021-06-25,False
P015,Home,39.99,70,4.1,2019-08-15,False
P016,Electronics,399.99,20,4.7,2022-05-05,False
P017,Clothing,24.99,110,3.7,2020-03-15,False
P018,Home,69.99,35,4.3,2021-11-30,False
P019,Electronics,89.99,80,4.0,2019-02-28,True
P020,Clothing,44.99,60,4.2,2022-09-10,False
